original_index,llm_name,answer_relevancy,noise_sensitivity(mode=relevant)
0,openai-gpt-4o,0.3959231804815469,0.0
1,openai-gpt-4o,0.3983712735234055,0.0
2,openai-gpt-4o,0.3346747525098469,0.0
3,openai-gpt-4o,0.0,0.0
4,openai-gpt-4o,0.35739574624897424,0.0
5,openai-gpt-4o,0.3384626042592127,0.0
6,openai-gpt-4o,0.32338764200060277,0.0
7,openai-gpt-4o,0.37294156389826416,0.0
8,openai-gpt-4o,0.34909250444526935,0.0
9,openai-gpt-4o,0.0,0.0
10,openai-gpt-4o,0.337214975235425,0.0
11,openai-gpt-4o,0.2904087153482441,0.0
12,openai-gpt-4o,0.3919879841554654,0.0
13,openai-gpt-4o,0.3230449312129807,0.0
14,openai-gpt-4o,0.32711626651107956,0.0
15,openai-gpt-4o,0.33445366085103007,0.0
16,openai-gpt-4o,0.3194615699209492,0.0
17,openai-gpt-4o,0.2526470374911879,0.0
18,openai-gpt-4o,0.0,0.0
19,openai-gpt-4o,0.44944403959102613,0.0
20,openai-gpt-4o,0.4712192788822681,0.0
21,openai-gpt-4o,0.0,0.0
22,openai-gpt-4o,0.41010830946450993,0.0
23,openai-gpt-4o,0.26005564839944395,0.0
24,openai-gpt-4o,0.361573055052403,0.0
25,openai-gpt-4o,0.0,0.0
26,openai-gpt-4o,0.0,0.0
27,openai-gpt-4o,0.33555576070722176,0.0
28,openai-gpt-4o,0.0,0.0
29,openai-gpt-4o,0.38440988167367046,0.0
30,openai-gpt-4o,0.3726316338106974,0.0
31,openai-gpt-4o,0.3309029518389979,0.0
32,openai-gpt-4o,0.3266867774749271,0.0
33,openai-gpt-4o,0.2746496369293423,0.0
34,openai-gpt-4o,0.0,0.0
35,openai-gpt-4o,0.3304861194159487,0.0
36,openai-gpt-4o,0.34166692866948456,0.0
37,openai-gpt-4o,0.3334130117371659,0.0
38,openai-gpt-4o,0.35740258339141073,0.0
39,openai-gpt-4o,0.0,0.0
